id,category_id,name,default_power_watts,default_avg_daily_use_hours,created_at,updated_at,process_type,load_factor,efficiency,default_standby_power_w,is_shiftable,intensity,is_climatization,is_thermal_sensitive,base_efficiency_ratio,thermal_efficiency_penalty,default_tank,consumption_logic,is_inverter_capable
1,1,"Aire Grande",2500,8,"2026-04-22 14:24:58","2026-04-25 20:44:49",,1,1,0,0,,1,1,3.2,0,2,CLIMATE_DEPENDENT,1
2,1,"Ventilador de Techo",60,5,"2026-04-22 14:24:58","2026-04-25 20:44:49",,1,1,0,0,,1,0,1,0,3,CONSTANT_ELASTIC,0
3,4,Microondas,1000,0.2,"2026-04-22 14:24:58","2026-04-22 14:24:58",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
5,7,"TV Grande",120,4,"2026-04-22 14:24:59","2026-04-22 14:24:59",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
7,9,"Router Wifi",20,24,"2026-04-22 14:24:59","2026-04-25 20:44:49",,1,1,0,0,,0,0,1,0,1,BASE_LOAD,0
8,8,"PC Gamer",600,5,"2026-04-22 14:24:59","2026-04-25 20:25:20",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
9,8,"Monitor PC",50,5,"2026-04-22 14:24:59","2026-04-22 14:24:59",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
10,1,"Aire Portatil",1400,4,"2026-04-22 14:24:59","2026-04-25 20:44:49",,1,1,0,0,,1,1,2.2,1.3,2,CLIMATE_INEFFICIENT,0
11,10,"Secador de Pelo",1000,0.1,"2026-04-22 14:24:59","2026-04-22 14:24:59",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
13,2,Heladera,150,24,"2026-04-22 14:24:59","2026-04-25 20:44:49",,1,1,0,0,,0,0,1,0,1,BASE_LOAD,1
14,5,Lavarropa,2500,1,"2026-04-22 14:24:59","2026-04-22 14:24:59",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
15,6,"Foco Estandar",5,4,"2026-04-22 18:23:03","2026-04-22 18:23:03",,1,1,0,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
16,13,"Cargador Celular",15,3,"2026-04-22 18:42:27","2026-04-22 18:42:27",,1,1,0.5,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
17,13,"Cargador Notebook",65,6,"2026-04-22 18:42:27","2026-04-22 18:42:27",,1,1,1,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
18,13,"Cargador Tablet",20,4,"2026-04-22 18:42:27","2026-04-22 18:42:27",,1,1,0.5,0,,0,0,1,0,3,CONSTANT_ELASTIC,0
