id,invoice_id,equipment_id,is_standby,avg_daily_use_hours,use_days_in_period,consumption_kwh,climate_adjustment_percent,created_at,updated_at,use_days_of_week,usage_frequency,usage_count,avg_use_duration,kwh_reconciled,tank_assignment,audit_logs,cycles_per_period
1,1,1,0,6,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,frecuentemente,,,637.2,3,"[""637.2 kWh (Ajuste T\u00e9rmico Manual)""]",0
2,1,2,0,8,,,,"2026-04-30 00:27:57","2026-05-06 22:43:49",,diario,,,18.24,3,"[""18.2 kWh (Ajuste T\u00e9rmico Manual)""]",0
3,1,3,0,0.17,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,5.76,4,"[""Asignaci\u00f3n Te\u00f3rica: 5.8 kWh (Uso Variable Calculado)""]",0
4,1,4,0,8,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,diario,,,4.8,4,"[""Asignaci\u00f3n Te\u00f3rica: 4.8 kWh (Uso Variable Calculado)""]",0
5,1,5,0,0.33,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.0594,1,"[""Fijado en 0.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
6,1,6,0,0.33,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.0594,1,"[""Fijado en 0.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
7,1,7,0,0.33,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.0594,1,"[""Fijado en 0.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
8,1,8,0,6,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,casi_frecuentemente,,,36.72,1,"[""Fijado en 36.7 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
9,1,9,0,0.17,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.0153,1,"[""Fijado en 0.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
10,1,10,0,24,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,diario,,,7.2,2,"[""Fijado en 7.2 kWh (Tank Cr\u00edtico (Fijo + 24h \u00f3 Refrigeraci\u00f3n\/Conectividad))""]",0
11,1,11,0,5,,,,"2026-04-30 00:27:57","2026-05-06 22:43:49",,ocasionalmente,,,3.6,3,"[""3.6 kWh (Ajuste T\u00e9rmico Manual)""]",0
12,1,12,0,4,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,frecuentemente,,,21.6,1,"[""Fijado en 21.6 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
13,1,13,0,4,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,frecuentemente,,,5.76,1,"[""Fijado en 5.8 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
14,1,14,0,1,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,48.0955,3,"[""48.1 kWh (Ajuste T\u00e9rmico Manual)""]",0
15,1,15,0,8,,,,"2026-04-30 00:27:57","2026-05-06 22:43:49",,diario,,,18.24,3,"[""18.2 kWh (Ajuste T\u00e9rmico Manual)""]",0
16,1,16,0,4,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,casi_frecuentemente,,,1.836,1,"[""Fijado en 1.8 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
17,1,17,0,8,,,,"2026-04-30 00:27:57","2026-05-06 22:43:49",,diario,,,27.36,3,"[""27.4 kWh (Ajuste T\u00e9rmico Manual)""]",0
18,1,18,0,0.167,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.015,1,"[""Fijado en 0.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
19,1,19,0,0.167,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,frecuentemente,,,0.0301,1,"[""Fijado en 0.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
20,1,20,0,8,,,,"2026-04-30 00:27:57","2026-05-06 22:43:49",,diario,,,27.36,3,"[""27.4 kWh (Ajuste T\u00e9rmico Manual)""]",0
21,1,21,0,2,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,3.06,1,"[""Fijado en 3.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
22,1,22,0,0.167,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.1202,1,"[""Fijado en 0.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
23,1,23,0,0.167,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.1202,1,"[""Fijado en 0.1 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
24,1,24,0,2,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,casi_frecuentemente,,,1.02,1,"[""Fijado en 1.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
25,1,25,0,0.083,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,1.494,1,"[""Fijado en 1.5 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
26,1,26,0,0.083,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,ocasionalmente,,,0.0179,1,"[""Fijado en 0.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
27,1,27,0,0.167,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,raramente,,,0.012,1,"[""Fijado en 0.0 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",0
28,1,28,0,24,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,diario,,,104.317,2,"[""Fijado en 104.3 kWh (Tank Cr\u00edtico (Fijo + 24h \u00f3 Refrigeraci\u00f3n\/Conectividad))""]",0
29,1,29,0,0,,,,"2026-04-30 00:27:57","2026-05-06 22:43:48",,diario,,,28.8,1,"[""Fijado en 28.8 kWh (Tanque 1 - Certeza (Patr\u00f3n Fijo declarado))""]",17.142857142857
30,1,30,0,0.083,,,,"2026-04-30 00:27:58","2026-05-06 22:43:48",,frecuentemente,,,0.0149,4,"[""Asignaci\u00f3n Te\u00f3rica: 0.0 kWh (Uso Variable Calculado)""]",0
